species,species_name,Scientific name,FTP,OGT,Temperature preference class,Ctmax,source,Optimum growth temperature,source,FTP field,FTP lab,lower avoidance,upper avoidance ,source,95%,source,species_code
bluntnose minnow,,Pimephales notatus ,24.1,26.2,warm,29.9,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,BNM
fathead minnow,,Pimephales promelas ,26.6,25.8,warm,34.1,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,FHM
spottail shiner,,Notropis hudsonius ,16.6,27.3,cold/cool,33.2,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,SPO
banded killifish,,Fundulus diaphanus ,23,24.6,cool,33.8,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,BKF
brook stickleback,,Culaea inconstans,21.3,20.5,cool,31.7,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,BST
mooneye,,Hiodon tergisus ,28,27.8,cool/warm,36.3,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,MOE
trout-perch,,Percopsis omiscomaycus ,13.4,17.5,cold,22.9,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,TRP
brook silverside ,,Labidesthes sicculus,16.2,25.4,warm,34.2,Hasnain CJFAS,,ISBN - 9781443522786,,,,,,,,BKS
logperch,,Percina caprodes,,,warm,34.3,"Farless and Brewer 2017, https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=319",,,,,,,,,,LGP
faintail darter,,Etheostoma flabellare,21.5,23.6,cool,33.4,"Hasnain CJFAS, https://doi.org/10.1007/BF00002262",,,,,,,,,,FTD
Johnny darter,,Etheostoma nigrum,22.8,24,cool,32.4,"Hasnain CJFAS, https://doi.org/10.1111/fwb.14100",,,,,,,,,,JND
rainbow smelt,,Osmerus mordax,11.2,15.9,cold,26.7,Hasnain CJFAS,,,,,,,,,,RBS
tadpole madtom,,Noturus gyrinus,25.55,28.2,warm,36.15,Hasnain CJFAS,using madtom species average,,,,,,,,,TPM
redear sunfish,,Lepomis microlophus,,,warm,34,"Hardy 1978, HARDY Jr, J. C. ""Development of fishes of the Mid-At-lantic Bight."" Anguillidae through Syngnathidae (1978).",,,,,,,,,,RSF
